,Timestamp,SourceIP,SourcePort,DPort,Status
529,3210309,77.72.85.18,42277,18859,BLOCK
530,3210316,182.253.207.14,57187,445,AUDIT
531,3210319,77.72.85.18,42277,51867,BLOCK
532,3210358,5.188.11.25,49629,20544,BLOCK
533,3210361,77.72.85.18,42277,40418,BLOCK
534,3210386,188.252.186.61,26602,88,BLOCK
535,3210460,61.160.213.149,62380,445,AUDIT
536,3210501,77.72.85.18,42277,13265,BLOCK
537,3210506,181.214.87.14,53937,44449,BLOCK
538,3210530,77.72.82.135,52004,2296,BLOCK
539,3210567,219.128.20.131,58341,1433,BLOCK
540,3210594,5.188.9.25,41696,33919,BLOCK
